03-24 00:01:20  Not game time, sleep... 
03-24 00:02:20  Not game time, sleep... 
03-24 00:03:20  Not game time, sleep... 
03-24 00:04:20  Not game time, sleep... 
03-24 00:05:20  Not game time, sleep... 
03-24 00:06:20  Not game time, sleep... 
03-24 00:07:20  Not game time, sleep... 
03-24 00:08:20  Not game time, sleep... 
03-24 00:09:20  Not game time, sleep... 
03-24 00:10:20  Not game time, sleep... 
03-24 00:11:20  Not game time, sleep... 
03-24 00:12:20  Not game time, sleep... 
03-24 00:13:20  Not game time, sleep... 
03-24 00:14:20  Not game time, sleep... 
03-24 00:15:20  Not game time, sleep... 
03-24 00:16:20  Not game time, sleep... 
03-24 00:17:20  Not game time, sleep... 
03-24 00:18:20  Not game time, sleep... 
03-24 00:19:20  Not game time, sleep... 
03-24 00:20:20  Not game time, sleep... 
03-24 00:21:20  Not game time, sleep... 
03-24 00:22:20  Not game time, sleep... 
03-24 00:23:20  Not game time, sleep... 
03-24 00:24:20  Not game time, sleep... 
03-24 00:25:20  Not game time, sleep... 
03-24 00:26:20  Not game time, sleep... 
03-24 00:27:20  Not game time, sleep... 
03-24 00:28:20  Not game time, sleep... 
03-24 00:29:20  Not game time, sleep... 
03-24 00:30:20  Not game time, sleep... 
03-24 00:31:20  Not game time, sleep... 
03-24 00:32:20  Not game time, sleep... 
03-24 00:33:20  Not game time, sleep... 
03-24 00:34:20  Not game time, sleep... 
03-24 00:35:20  Not game time, sleep... 
03-24 00:36:20  Not game time, sleep... 
03-24 00:37:20  Not game time, sleep... 
03-24 00:38:20  Not game time, sleep... 
03-24 00:39:20  Not game time, sleep... 
03-24 00:40:20  Not game time, sleep... 
03-24 00:41:20  Not game time, sleep... 
03-24 00:42:20  Not game time, sleep... 
03-24 00:43:20  Not game time, sleep... 
03-24 00:44:20  Not game time, sleep... 
03-24 00:45:20  Not game time, sleep... 
03-24 00:46:20  Not game time, sleep... 
03-24 00:47:20  Not game time, sleep... 
03-24 00:48:20  Not game time, sleep... 
03-24 00:49:20  Not game time, sleep... 
03-24 00:50:20  Not game time, sleep... 
03-24 00:51:20  Not game time, sleep... 
03-24 00:52:20  Not game time, sleep... 
03-24 00:53:20  Not game time, sleep... 
03-24 00:54:20  Not game time, sleep... 
03-24 00:55:20  Not game time, sleep... 
03-24 00:56:20  Not game time, sleep... 
03-24 00:57:20  Not game time, sleep... 
03-24 00:58:20  Not game time, sleep... 
03-24 00:59:20  Not game time, sleep... 
03-24 01:00:20  Not game time, sleep... 
03-24 01:01:20  Not game time, sleep... 
03-24 01:02:20  Not game time, sleep... 
03-24 01:03:20  Not game time, sleep... 
03-24 01:04:20  Not game time, sleep... 
03-24 01:05:20  Not game time, sleep... 
03-24 01:06:20  Not game time, sleep... 
03-24 01:07:20  Not game time, sleep... 
03-24 01:08:20  Not game time, sleep... 
03-24 01:09:20  Not game time, sleep... 
03-24 01:10:20  Not game time, sleep... 
03-24 01:11:20  Not game time, sleep... 
03-24 01:12:20  Not game time, sleep... 
03-24 01:13:20  Not game time, sleep... 
03-24 01:14:20  Not game time, sleep... 
03-24 01:15:20  Not game time, sleep... 
03-24 01:16:20  Not game time, sleep... 
03-24 01:17:20  Not game time, sleep... 
03-24 01:18:20  Not game time, sleep... 
03-24 01:19:20  Not game time, sleep... 
03-24 01:20:20  Not game time, sleep... 
